Quarter,Part_No,Part_Desc,Supplier,Region,ABC_Class,Unit_Cost_EUR,LT_obs1_days,LT_obs2_days,LT_obs3_days,LT_obs4_days,LT_obs5_days,LT_obs6_days,EDI_LeadTime_days,WH_Demand_Wk1_units,WH_Demand_Wk2_units,WH_Demand_Wk3_units,WH_Demand_Wk4_units,WH_Demand_Wk5_units,WH_Demand_Wk6_units,WH_Demand_Wk7_units,WH_Demand_Wk8_units
Q2,DEMO-001,Housing-001,Demo Supplier A,CN,B,14.52,39,29,32,32,40,27,37,270,271,210,378,354,289,355,245
Q2,DEMO-002,Seal-002,Demo Supplier B,TW,A,80.92,33,27,26,24,23,27,31,226,244,236,279,154,315,226,300
Q2,DEMO-003,Screw-003,Demo Supplier C,DE,A,62.64,13,11,12,12,7,11,11,173,178,222,220,228,156,257,178
Q2,DEMO-004,Bracket-004,Demo Supplier D,DE,C,10.96,11,11,12,13,10,8,10,211,164,147,127,137,108,186,136
Q2,DEMO-005,Contact-005,Demo Supplier A,CN,B,21.2,37,34,40,36,54,40,38,231,330,361,345,467,434,394,276
Q2,DEMO-006,Connector-006,Demo Supplier B,TW,A,31.44,28,27,27,29,27,27,29,386,404,448,466,443,515,378,400
Q2,DEMO-007,Spring-007,Demo Supplier C,DE,C,10.42,16,13,10,12,13,17,16,341,258,238,280,230,223,213,277
Q2,DEMO-008,Bushing-008,Demo Supplier D,DE,C,3.83,9,10,9,10,14,9,10,222,220,196,232,238,235,241,167
Q2,DEMO-009,Panel-009,Demo Supplier A,CN,B,25.93,36,30,43,27,37,43,33,178,137,163,195,202,208,173,222
Q2,DEMO-010,Plate-010,Demo Supplier B,TW,A,11.24,40,34,46,39,42,30,32,711,803,546,857,777,563,639,788
Q2,DEMO-011,Housing-011,Demo Supplier C,DE,A,95.03,12,12,12,12,13,12,14,507,509,458,469,499,488,492,511
Q2,DEMO-012,Seal-012,Demo Supplier D,DE,B,11.84,11,12,10,12,13,15,11,175,312,386,212,301,260,341,358
Q2,DEMO-013,Screw-013,Demo Supplier A,CN,C,21.9,45,48,51,46,50,47,52,119,72,68,86,77,123,92,113
Q2,DEMO-014,Bracket-014,Demo Supplier B,TW,C,0.61,36,38,35,34,39,31,37,118,146,178,158,200,191,190,107
Q2,DEMO-015,Contact-015,Demo Supplier C,DE,B,21.75,10,10,12,11,12,11,11,186,178,240,106,223,165,131,199
Q2,DEMO-016,Connector-016,Demo Supplier D,DE,C,3.47,13,13,13,13,12,12,13,496,468,690,578,827,402,506,527
Q2,DEMO-017,Spring-017,Demo Supplier A,CN,C,4.7,48,58,57,45,55,55,49,77,69,81,71,75,66,70,78
Q2,DEMO-018,Bushing-018,Demo Supplier B,TW,C,2.23,31,20,25,23,29,28,28,154,145,144,130,144,145,140,111
Q2,DEMO-019,Panel-019,Demo Supplier C,DE,C,6.97,13,11,11,14,13,12,13,226,222,195,198,226,227,240,171
Q2,DEMO-020,Plate-020,Demo Supplier D,DE,C,1.55,6,7,7,9,10,9,8,130,245,180,188,136,146,215,273
Q2,DEMO-021,Housing-021,Demo Supplier A,CN,B,23.38,40,48,56,51,45,45,47,181,267,210,200,263,152,198,219
Q2,DEMO-022,Seal-022,Demo Supplier B,TW,C,8.65,30,24,32,32,31,30,29,160,278,163,186,194,195,276,261
Q2,DEMO-023,Screw-023,Demo Supplier C,DE,B,23.32,13,11,9,11,11,9,11,334,337,210,272,301,201,260,328
Q2,DEMO-024,Bracket-024,Demo Supplier D,DE,C,1.86,10,12,11,11,13,13,12,490,534,545,483,472,482,507,531
Q2,DEMO-025,Contact-025,Demo Supplier A,CN,C,5.79,41,31,54,41,38,49,42,555,369,191,353,459,535,287,364
Q2,DEMO-026,Connector-026,Demo Supplier B,TW,C,4.22,39,36,36,36,38,34,35,82,94,78,102,92,97,69,90
Q2,DEMO-027,Spring-027,Demo Supplier C,DE,B,12.43,12,15,12,11,8,10,11,236,259,387,187,229,289,346,341
Q2,DEMO-028,Bushing-028,Demo Supplier D,DE,A,19.79,9,9,8,8,8,6,8,490,437,428,396,504,388,319,383
Q2,DEMO-029,Panel-029,Demo Supplier A,CN,C,12.22,46,40,53,31,42,39,40,289,263,308,233,270,294,156,234
Q2,DEMO-030,Plate-030,Demo Supplier B,TW,B,12.11,27,27,31,27,28,29,27,338,432,326,424,335,341,441,372
